1111022,1111,Banda Baro,5.193444,96.969233
1111030,1111,Kuta Makmur,5.0943003,97.0390904
1111031,1111,Simpang Keramat,5.0317949,97.0821162
1111040,1111,Syamtalira Bayu,5.0771854,97.184414
1111041,1111,Geureudong Pase,4.9498759,97.0175879
1111050,1111,Meurah Mulia,5.0717161,97.2113605
1111060,1111,Matangkuli,5.0348857,97.2706807
1111061,1111,Paya Bakong,4.9165104,97.2437105
1111062,1111,Pirak Timu,4.9883603,97.276076
1111070,1111,Cot Girek,4.8331764,97.330053
1111080,1111,Tanah Jambo Aye,5.0896946,97.4489531
1111081,1111,Langkahan,4.8729315,97.4597725
1111090,1111,Seunuddon,5.1934088,97.4273195
1111100,1111,Baktiya,5.0901929,97.4056928
1111101,1111,Baktiya Barat,5.1323054,97.3408535
1111110,1111,Lhoksukon,5.0388975,97.3732655
1111120,1111,Tanah Luas,4.969134,97.1467072
1111121,1111,Nibong,5.0328724,97.2194466
1111130,1111,Samudera,5.1284218,97.2275336
1111140,1111,Syamtalira Aron,5.1073646,97.2598913
1111150,1111,Tanah Pasir,5.1384041,97.2598913
1111151,1111,Lapang,5.148385,97.2922646
1111160,1111,Muara Batu,5.245533,96.9477532
1111170,1111,Dewantara,5.2395677,97.0175879
1112010,1112,Manggeng,3.6206532,96.9155468
1112011,1112,Lembah Sabil,3.6248985,97.0175879
1112020,1112,Tangan-Tangan,3.6959787,96.9423844
1112021,1112,Setia,3.7015625,96.8726295
1112030,1112,Blang Pidie,3.7431465,96.8326488
1112031,1112,Jeumpa,3.7625894,96.8083063
1112040,1112,Susoh,3.7220621,96.8297403
1112050,1112,Kuala Batee,3.9395046,96.8136642
1112060,1112,Babah Rot,3.933333,96.7
1113010,1113,Kuta Panjang,3.8149378,97.2005806
1113011,1113,Blang Jerango,3.9771224,97.1574784
1113020,1113,Blangkejeren,3.9967196,97.3416152
1113021,1113,Putri Betung,3.7520288,97.4814163
1113022,1113,Dabun Gelang,3.9335745,97.5030669
1113023,1113,Blang Pegayon,3.8142098,97.286868
1113030,1113,Pining,3.9928933,97.654811
1113040,1113,Rikit Gaib,4.1382779,97.286868
1113041,1113,Pantan Cuaca,4.1797271,97.2005806
1113050,1113,Terangun,3.9990545,96.9638624
1113051,1113,Tripe Jaya,4.1409959,96.9853474
1114010,1114,Tamiang Hulu,4.1534043,97.8286368
1114011,1114,Bandar Pusaka,4.2854152,97.8395151
1114020,1114,Kejuruan Muda,4.2123421,98.0247005
1114021,1114,Tenggulun,3.9904163,97.9157099
1114030,1114,Rantau,4.3030298,98.101092
1114040,1114,Kota Kuala Simpang,4.283777,98.0581119
1114050,1114,Seruway,4.360689,98.184624
1114060,1114,Bendahara,4.4039038,98.1884949
1114061,1114,Banda Mulia,4.4451675,98.1447804
1114070,1114,Karang Baru,4.3378413,98.0717968
1114071,1114,Sekerak,4.3252274,97.9266015
1114080,1114,Manyak Payed,4.4257284,98.0574299
1115010,1115,Darul Makmur,4.0025819,96.5356449
1115011,1115,Tripa Makmur,3.9325119,96.418385
1115020,1115,Kuala,4.0959478,96.2907139
1115021,1115,Kuala Pesisir,4.0964458,96.2269763
1115022,1115,Tadu Raya,4.0646951,96.3864428
1115030,1115,Beutong,4.45,96.55
1115031,1115,Beutong Ateuh Banggalang,4.4613091,96.5249759
1115040,1115,Seunagan,4.2385215,96.2907139
1115041,1115,Suka Makmue,4.1772002,96.3119743
1115050,1115,Seunagan Timur,4.3095131,96.3438785
1116010,1116,Teunom,4.4360296,95.8775964
1116011,1116,Pasie Raya,4.5994686,95.9621106
1116020,1116,Panga,4.6419779,95.7932008
1116030,1116,Krueng Sabee,4.8268587,95.8564864
1116040,1116,Setia Bakti,4.7464712,95.6037465
1116050,1116,Sampoiniet,4.9331768,95.4987565
1116051,1116,Darul Hikmah,4.8907771,95.624767
1116060,1116,Jaya,5.1617309,95.435853
1116061,1116,Indra Jaya,5.0166816,95.4149003
1117010,1117,Timang Gajah,4.7668045,96.7815237
1117011,1117,Gajah Putih,4.8081912,96.7601057
1117020,1117,Pintu Rime Gayo,4.880216,96.7708138
1117030,1117,Bukit,4.7248188,96.8672668
1117040,1117,Wih Pesam,4.7254517,96.8029489
1117050,1117,Bandar,4.703412,96.9531225
1117051,1117,Bener Kelipah,4.7706153,96.9155468
1117060,1117,Syiah Utama,4.6502384,97.1359377
1117061,1117,Mesidah,4.7540464,97.0283383
1117070,1117,Permata,4.837253,96.9423844
1118010,1118,Meureudu,4.9882841,96.2800864
1118020,1118,Meurah Dua,5.2327384,96.2601989
1118030,1118,Bandar Dua,5.0915766,96.3013432
1118040,1118,Jangka Buya,5.2209482,96.3279244
1118050,1118,Ulim,5.2006114,96.2853999
1118060,1118,Trienggadeng,5.2070047,96.1633042
1118070,1118,Panteraja,5.253903,96.1473964
1118080,1118,Bandar Baru,5.1765805,96.0891032
1171010,1171,Meuraxa,5.5538338,95.2945694
1171011,1171,Jaya Baru,5.5355089,95.2971826
1171012,1171,Banda Raya,5.5249139,95.3128644
1171020,1171,Baiturrahman,5.5457794,95.3180926
1171021,1171,Lueng Bata,5.5404101,95.3337801
1171030,1171,Kuta Alam,5.5640132,95.3259358
1171031,1171,Kuta Raja,5.570634,95.3167855
1171040,1171,Syiah Kuala,5.5847498,95.3468563
1171041,1171,Ulee Kareng,5.5507266,95.3494719
1172010,1172,Sukajaya,5.7999089,95.3207069
1172020,1172,Sukakarya,5.8477312,95.2632201
1173010,1173,Langsa Timur,4.4466045,98.013794
1173011,1173,Langsa Lama,4.4522391,97.9647353
1173020,1173,Langsa Barat,4.5080981,97.991986
1173021,1173,Langsa Baro,4.4883846,97.9266015
1173030,1173,Langsa Kota,4.4725348,97.9756343
1174010,1174,Blang Mangat,5.1191601,97.1305536
1174020,1174,Muara Dua,5.1605691,97.1305536
1174021,1174,Muara Satu,5.1973717,97.0821162
1174030,1174,Banda Sakti,5.1811638,97.1413222
1175010,1175,Simpang Kiri,2.6822056,97.9701846
1175020,1175,Penanggalan,2.6520337,98.068343
1175030,1175,Rundeng,2.6928351,97.8503951
1175040,1175,Sultan Daulat,2.7910228,97.9157099
1175050,1175,Longkib,2.5651327,97.8177601
1201060,1201,Idano Gawo,1.0299382,97.7634019
1201061,1201,Bawolato,0.9539293,97.8503951
1201062,1201,Ulugawo,0.9826667,97.7090854
1201070,1201,Gido,1.1346112,97.6873706
1201071,1201,Sogaeadu,1.1024643,97.7104428
1201081,1201,Ma U,1.0729594,97.6385368
